"type","lme","n","msy_tmt","lat_dd","sst_c_mean","sst_c_slope_10yr","betaT","ts_slope","ts_pval","ts_slope_sd","ts_pval_sd","pdiff"
"LME","Agulhas Current",5,760.362855653554,-22.0552505478497,25.0160047438172,0.0763248905310598,0.0216768795741271,1184.98072835489,2.92661144419229e-88,0.00152768382362831,2.92661144419229e-88,1.58585445373594
"LME","Baltic Sea",5,877.041187254337,58.9223674027633,7.50902998599622,0.0884273103317036,0.162187614836714,9587.44237350843,5.61995505836791e-61,0.00912017198192272,5.61995505836791e-61,10.7952593849482
"LME","Barents Sea",5,2188.00229369607,76.3842810438223,1.12340667463716,0.0787006924434034,0.0279963547464912,7168.41527056558,2.43729818984438e-67,0.00309802398104442,2.43729818984438e-67,4.25357653047843
"HSA","Bay of Biscay",1,7.12451695727399,45.3819809862644,14.9716097262007,0.0840462963408549,-0.0285172265134549,-16.2066018842598,1.80039657915172e-48,-0.00218551284181796,1.80039657915172e-48,-2.75847027259319
"LME","Benguela Current",3,157.357384421773,-21.2509089857221,19.5979049367948,0.0788234343539438,-0.104611956105613,-2598.98552017815,1.08244602201737e-78,-0.0134386976873487,1.08244602201737e-78,-15.9861761998586
"LME","California Current",29,278.238592891969,33.2488814448912,16.5154483468658,0.0341440504603669,0.0350649083405723,-90.7894895639667,0.312755968305106,-0.00027586455810545,0.312755968305106,-1.61266944393898
"LME","Canary Current",2,714.807756888666,24.6664487066675,21.0202107541791,0.0661366171468723,0.138720267150825,15213.1019461057,1.117904363169e-41,0.0141910730219524,1.117904363169e-41,25.8112842792261
"LME","Celtic-Biscay Shelf",15,294.391736657648,51.6896860395118,12.462906778472,0.0637676746808394,-0.320964051590701,-3994.46440251493,1.12949160148612e-29,-0.0104990987909894,1.12949160148612e-29,-17.0575819204814
"LME","East Bering Sea",14,2956.34538479809,57.1585921746313,4.68146007173091,0.0377392872947924,-0.0332979511018501,-9002.69869507729,6.54567423218188e-07,-0.0026176737403704,6.54567423218188e-07,-3.85468375002359
"LME","East China Sea",5,1844.45539422574,29.5836730133567,21.525587057801,0.142447620489375,-0.0698833170365184,-72300.6651598242,1.8470661498427e-113,-0.0242968924244481,1.8470661498427e-113,-40.1529889320935
"LME","Faroe Plateau",3,82.4164653838933,61.4950585352395,9.16917631126835,0.0179954808866069,-0.105357724082296,92.0652246308762,0.970107464846861,0.000977652113054783,0.970107464846861,-6.09635427212188
"LME","Greenland Sea",1,960.38942730326,73.7209561438615,1.13326840644469,0.0305175454663521,-0.0477660585677398,-1713.50031995962,3.57096623130579e-27,-0.00170330606779733,3.57096623130579e-27,-3.32717534248424
"LME","Gulf of Alaska",20,280.538707369938,54.0632115843835,8.98372600981728,0.0141830973511575,-0.021104589143566,-424.451186880463,6.75452405842514e-06,-0.00137485961094222,6.75452405842514e-06,-1.26909308047193
"LME","Gulf of Mexico",3,1.72304568126123,24.9786911251143,25.9037917559096,-3.00572086395732e-06,0.063710931374061,-5.32611143678288,2.97863231651475e-44,-0.00294182718983738,2.97863231651475e-44,-1.308978871927
"LME","Humboldt Current",16,15985.2616354036,-32.4637033243962,15.1477637505822,0.0767284468742198,-0.00167889086216528,83276.9461477248,1.58085128519179e-69,0.00478712209153103,1.58085128519179e-69,3.41180517735804
"LME","Iberian Coastal",2,2.57581639194149,41.0791550011273,16.2066452563516,0.0850813172822656,-0.1289320542843,-75.1808395940827,1.00621449902316e-82,-0.0210298530755705,1.00621449902316e-82,-29.1864576212856
"LME","Iceland Shelf and Sea",5,1300.33496544436,66.3074219192665,4.6148840550414,0.0306367276171637,0.0201395976132992,-333.680930022458,0.0195556698445538,-0.000251669081012789,0.0195556698445538,-1.04184240096384
"HSA","Indian Ocean",4,398.1767588269,-33.7704912077702,15.2976744375464,0.065522884034506,0.00492174146219866,12332.7293949426,2.69055155944025e-201,0.0245908355542896,2.69055155944025e-201,21.8105927330742
"LME","Kuroshio Current",6,3681.70216101815,30.9823532304985,22.1359312454367,0.121399883137323,-0.177040898036655,-150750.2390557,3.19200571204584e-109,-0.0261611406214602,3.19200571204584e-109,-43.2692380989002
"LME","Labrador - Newfoundland",8,324.025387349619,49.9991832200601,4.51877349708848,0.017050606538153,-0.133191644727816,-3240.46228889153,3.69033787003162e-16,-0.00801017433822334,3.69033787003162e-16,-9.7126140125009
"HSA","Labrador Sea",2,204.153963213444,57.0287712634191,4.2470721007845,0.0419124954356396,-0.043907610868356,-282.241792582726,0.700545173403178,-0.0011957841451582,0.700545173403178,5.60878711795101
"LME","Mediterranean Sea",2,45.9360799484696,37.1125510591608,19.6701167738952,0.024530332533418,-0.00652302144384849,4.10242797817101,6.20290483021834e-08,8.88503978670595e-05,6.20290483021834e-08,0.0309129999576095
"LME","New Zealand Shelf",9,7.37163476290252,-40.7747036472131,15.1135116105522,0.0486588414876416,-0.0592707935899588,7.79416969616085,1.81864814776476e-20,0.00102495620333836,1.81864814776476e-20,0.113465570322272
"HSA","North Atlantic Ocean",6,364.436713202267,31.424521797511,20.4436479790893,0.0231947001361049,-0.122968433385832,-1280.55999499482,1.69548623457599e-139,-0.00345442938373851,1.69548623457599e-139,-3.9920365472704
"LME","North Brazil Shelf",1,34.1665005963109,4.55532382088,27.6873347389214,0.0224701186904015,-0.00112624469685027,64.0429574622588,6.05074161191623e-60,0.00181286714608471,6.05074161191623e-60,2.80018014271092
"HSA","North Pacific Ocean",4,132.734002834149,22.4002334737377,22.1422494104082,0.035850252762314,0.0177334078041061,2937.42382740921,4.48161877464428e-102,0.0182805866611647,4.48161877464428e-102,20.4229083119647
"LME","North Sea",9,2603.70606021094,57.3859168180953,9.81867703675405,0.0816482255755926,-0.313251480987972,-92696.1625028341,2.5905206012504e-32,-0.0199437484679878,2.5905206012504e-32,-38.4075411052921
"LME","Northeast U.S. Continental Shelf",15,822.732656130428,40.9669452231641,11.4959431169785,0.0643102179509374,0.190839265641138,190.749263793603,0.819364753508663,0.000198206978415418,0.819364753508663,3.02722113575932
"LME","Norwegian Sea",1,1943.47351858173,68.448171704719,6.78627495143645,0.0400299047693595,-0.0415704820654032,-3216.7095297206,8.7958078676854e-43,-0.00159981492498805,8.7958078676854e-43,-3.59430433834729
"LME","Patagonian Shelf",2,285.092406905849,-46.3316279001902,10.3041329161141,0.0593150402667537,-0.0366024903219154,-847.251864236224,2.40677530402727e-65,-0.00281145569317263,2.40677530402727e-65,-3.69296852567509
"LME","Scotian Shelf",2,51.6709376903109,45.580287452441,7.18966119533828,0.0741049131528939,0.00781626446740233,9.4176944939157,0.109498760741028,0.000182392539716639,0.109498760741028,0.248852861907894
"LME","Sea of Japan",1,30.0253143579301,41.2602060431076,12.2656370212716,0.133873893821276,-0.116386543166672,-1913.96206237796,1.3262410874622e-121,-0.0318354680552933,1.3262410874622e-121,-66.4355833302394
"HSA","South Atlantic Ocean",1,25.8342929841707,-34.6794035443897,14.3703269058798,0.0746903915940366,-0.0883478845412679,-458.632100484091,1.5852583569648e-225,-0.015833596379526,1.5852583569648e-225,-13.4990966537342
"HSA","South Pacific Ocean",5,97.7983074893035,-30.3784367285065,18.0606013871508,0.0459970760425509,0.261730043636743,3761.11508782129,8.17297296303591e-160,0.0275224981622788,8.17297296303591e-160,31.2685547626325
"LME","South West Australian Shelf",5,7.02222780763917,-35.1724509859145,16.9866930599032,0.0737807707003448,0.0757192356930121,104.87495114096,3.25769173647426e-155,0.01339468948617,3.25769173647426e-155,11.0889267264945
"LME","Southeast Australian Shelf",8,11.9609268371467,-41.0284589885485,14.5645513355899,0.0876810417852991,0.00892021181820246,6.08302194410737,2.46949324073731e-13,0.000482308152303368,2.46949324073731e-13,0.812128228980728
"LME","Southeast U.S. Continental Shelf",9,20.2269001501347,30.4294290662164,25.369137283486,-0.115048998276731,0.0271520295883932,-75.6316154752691,1.24164206207165e-172,-0.00364008978826341,1.24164206207165e-172,-2.27070358671337
"LME","West Bering Sea",1,296.89070370909,57.1721843219699,4.26289238352881,0.0371600405825854,-0.025428846059411,-25.5737264734444,0.028072593508338,-8.47269577600944e-05,0.028072593508338,-0.620599118307699
